ProteinName	SampleID	Condition	NormIntensity	Ibaq	IbaqNorm	IbaqLog	IbaqPpb	MolecularWeight	TPA	CopyNumber	Moles[nmol]	Weight[ng]	Concentration[nM]
A0AVT1	PXD000396-Sample-1	HeLa	94685478	272084.7069	1.16E-05	5.063111442	1156.408944	117895.0575	803.1335666	3.1962E+15	5.307415259	625718.027	4.345305648
A0FGR8	PXD000396-Sample-1	HeLa	93337024	518539.0222	2.20E-05	5.343188754	2203.884114	102293.9338	912.4394826	3.6312E+15	6.029750759	616806.9247	4.936698704
A0MZ66	PXD000396-Sample-1	HeLa	28493653	374916.4868	1.59E-05	5.202341849	1593.462505	71595.6925	397.9799902	1.58383E+15	2.630004722	188297.0094	2.153246697
A1L0T0	PXD000396-Sample-1	HeLa	212644381	1215110.749	5.16E-05	5.713023173	5164.439243	67824.74887	3135.203367	1.25E+16	20.71862873	1405235.791	16.96282843
A5YKK6	PXD000396-Sample-1	HeLa	322926447	224254.4771	9.53E-06	4.979148432	953.1218641	266767.8978	1210.514645	4.81744E+15	7.999545981	2134022.065	6.549416362
A6NDG6	PXD000396-Sample-1	HeLa	605137039.5	3361872.442	0.000142886	6.154988541	14288.56258	33984.50793	17806.26163	7.09E+16	117.6706199	3998978.116	96.33970294
A6NDU8	PXD000396-Sample-1	HeLa	73311301	1078107.368	4.58E-05	5.661069324	4582.150231	33598.63045	2181.972897	8.68352E+15	14.41931545	484469.2511	11.80543255
A6NHR9	PXD000396-Sample-1	HeLa	69311594	220036.8063	9.35E-06	4.970902643	935.1960049	226231.0833	306.3752027	1.21927E+15	2.024645082	458037.6501	1.657624527
E9PRG8	PXD000396-Sample-1	HeLa	93246014	7770501.167	0.00033026	6.51885634	33026.02763	14225.07082	6555.047438	2.61E+16	43.31827262	616205.4957	35.4656882
O00115	PXD000396-Sample-1	HeLa	99168356	3541727	0.00015053	6.177622392	15052.9768	39555.54491	2507.065854	9.97728E+15	16.56765465	655342.6076	13.56432836
O00116	PXD000396-Sample-1	HeLa	564154492	1106185.278	4.70E-05	5.672235184	4701.486402	72865.7506	7742.382221	3.08E+16	51.16463718	3728149.692	41.88969132
O00139	PXD000396-Sample-1	HeLa	37931146.12	557810.9724	2.37E-05	5.374894363	2370.796966	79904.63742	474.7051904	1.88917E+15	3.137034331	250663.5908	2.568363758
O00148	PXD000396-Sample-1	HeLa	479219151.5	2852494.949	0.000121236	6.083632194	12123.61661	49097.95558	9760.47059	3.88E+16	64.50094068	3166864.321	52.80843654
O00151	PXD000396-Sample-1	HeLa	1389130902	7892789.216	0.000335458	6.525637815	33545.77384	36049.04255	38534.47426	1.53E+17	254.650615	9179910.854	208.4884453
O00154	PXD000396-Sample-1	HeLa	499219325	2773440.694	0.000117876	6.071426194	11787.62181	41769.31927	11951.81855	4.76E+16	78.98221018	3299033.153	64.66459232
O00159	PXD000396-Sample-1	HeLa	409286861.2	552343.9422	2.35E-05	5.370616905	2347.561104	121605.9167	3365.682134	1.34E+16	22.241721	2704724.871	18.20981988
O00170	PXD000396-Sample-1	HeLa	57776348	1132869.569	4.81E-05	5.682587221	4814.899435	37640.11304	1534.967441	6.10865E+15	10.14365475	381808.3115	8.30484862
O00186	PXD000396-Sample-1	HeLa	100447871	837065.5917	3.56E-05	5.5511668	3557.679327	67720.84416	1483.263717	5.90289E+15	9.801976669	663798.1345	8.025108741
O00193	PXD000396-Sample-1	HeLa	184772092	12318139.47	0.000523543	6.718952427	52354.30839	20320.21574	9093.018221	3.62E+16	60.09015892	1221044.993	49.19722581
O00203	PXD000396-Sample-1	HeLa	302311904	482156.1467	2.05E-05	5.311595018	2049.250349	121244.4982	2493.407194	9.92292E+15	16.47739298	1997793.242	13.49042901
O00217	PXD000396-Sample-1	HeLa	96772932	3722035.846	0.000158193	6.199187861	15819.32183	23689.61902	4085.035387	1.63E+16	26.99548375	639512.7252	22.1018372
